trainer_id,english_name,trainer_class,constructor_or_id_class,ivs_hp_atk_def_spa_spd_spe
0,"Florian","Youngster","Normal trainer path; ID 0–49",19/19/19/19/19/19
1,"Robin","Youngster","Normal trainer path; ID 0–49",19/19/19/19/19/19
2,"Max","Youngster","Normal trainer path; ID 0–49",19/19/19/19/19/19
3,"Bert","Youngster","Normal trainer path; ID 0–49",19/19/19/19/19/19
4,"Sophia","Lass","Normal trainer path; ID 0–49",19/19/19/19/19/19
5,"Shanta","Lass","Normal trainer path; ID 0–49",19/19/19/19/19/19
6,"Rachel","Lass","Normal trainer path; ID 0–49",19/19/19/19/19/19
7,"Chan","Lass","Normal trainer path; ID 0–49",19/19/19/19/19/19
8,"Ferdinand","Preschooler","Normal trainer path; ID 0–49",19/19/19/19/19/19
9,"Rico","Preschooler","Normal trainer path; ID 0–49",19/19/19/19/19/19
10,"Rocky","Preschooler","Normal trainer path; ID 0–49",19/19/19/19/19/19
11,"Jasper","Preschooler","Normal trainer path; ID 0–49",19/19/19/19/19/19
12,"Kendra","Preschooler","Normal trainer path; ID 0–49",19/19/19/19/19/19
13,"Mercy","Preschooler","Normal trainer path; ID 0–49",19/19/19/19/19/19
14,"Helen","Preschooler","Normal trainer path; ID 0–49",19/19/19/19/19/19
15,"Gladys","Preschooler","Normal trainer path; ID 0–49",19/19/19/19/19/19
16,"Darla","Backpacker","Normal trainer path; ID 0–49",19/19/19/19/19/19
17,"Tammy","Backpacker","Normal trainer path; ID 0–49",19/19/19/19/19/19
18,"Reese","Backpacker","Normal trainer path; ID 0–49",19/19/19/19/19/19
19,"Kayla","Backpacker","Normal trainer path; ID 0–49",19/19/19/19/19/19
20,"Cleavant","Hiker","Normal trainer path; ID 0–49",19/19/19/19/19/19
21,"Buster","Hiker","Normal trainer path; ID 0–49",19/19/19/19/19/19
22,"Arlo","Hiker","Normal trainer path; ID 0–49",19/19/19/19/19/19
23,"Levine","Hiker","Normal trainer path; ID 0–49",19/19/19/19/19/19
24,"Percy","Office Worker","Normal trainer path; ID 0–49",19/19/19/19/19/19
25,"Conley","Office Worker","Normal trainer path; ID 0–49",19/19/19/19/19/19
26,"Emery","Office Worker","Normal trainer path; ID 0–49",19/19/19/19/19/19
27,"Winnie","Office Worker","Normal trainer path; ID 0–49",19/19/19/19/19/19
28,"Prudence","Office Worker","Normal trainer path; ID 0–49",19/19/19/19/19/19
29,"Dominica","Office Worker","Normal trainer path; ID 0–49",19/19/19/19/19/19
30,"Kass","Punk Guy","Normal trainer path; ID 0–49",19/19/19/19/19/19
31,"Scoop","Punk Guy","Normal trainer path; ID 0–49",19/19/19/19/19/19
32,"Dylan","Punk Guy","Normal trainer path; ID 0–49",19/19/19/19/19/19
33,"Evander","Punk Guy","Normal trainer path; ID 0–49",19/19/19/19/19/19
34,"Myrna","Punk Girl","Normal trainer path; ID 0–49",19/19/19/19/19/19
35,"Eva","Punk Girl","Normal trainer path; ID 0–49",19/19/19/19/19/19
36,"Agrata","Punk Girl","Normal trainer path; ID 0–49",19/19/19/19/19/19
37,"Abby","Punk Girl","Normal trainer path; ID 0–49",19/19/19/19/19/19
38,"Parker","Youth Athlete","Normal trainer path; ID 0–49",19/19/19/19/19/19
39,"Isaac","Youth Athlete","Normal trainer path; ID 0–49",19/19/19/19/19/19
40,"Ayden","Youth Athlete","Normal trainer path; ID 0–49",19/19/19/19/19/19
41,"Alwyn","Youth Athlete","Normal trainer path; ID 0–49",19/19/19/19/19/19
42,"Mardea","Youth Athlete","Normal trainer path; ID 0–49",19/19/19/19/19/19
43,"Gabriella","Youth Athlete","Normal trainer path; ID 0–49",19/19/19/19/19/19
44,"Ryder","Rising Star","Normal trainer path; ID 0–49",19/19/19/19/19/19
45,"Christopher","Rising Star","Normal trainer path; ID 0–49",19/19/19/19/19/19
46,"Sorley","Rising Star","Normal trainer path; ID 0–49",19/19/19/19/19/19
47,"Beatrice","Rising Star","Normal trainer path; ID 0–49",19/19/19/19/19/19
48,"Brandi","Rising Star","Normal trainer path; ID 0–49",19/19/19/19/19/19
49,"Marsha","Rising Star","Normal trainer path; ID 0–49",19/19/19/19/19/19
50,"Cooper","Sightseer","Normal trainer path; ID 50–69",23/23/23/23/23/23
51,"Darien","Sightseer","Normal trainer path; ID 50–69",23/23/23/23/23/23
52,"Hart","Sightseer","Normal trainer path; ID 50–69",23/23/23/23/23/23
53,"Kaula","Sightseer","Normal trainer path; ID 50–69",23/23/23/23/23/23
54,"Charlene","Sightseer","Normal trainer path; ID 50–69",23/23/23/23/23/23
55,"Odessa","Sightseer","Normal trainer path; ID 50–69",23/23/23/23/23/23
56,"Jairo","Janitor","Normal trainer path; ID 50–69",23/23/23/23/23/23
